,Pharyngeal Mesoderm/Neural Crest_corr,Pharyngeal Mesoderm/Neural Crest_pval,Pharyngeal Mesoderm/Neural Crest_qval,Pharyngeal Mesoderm/Neural Crest_ci_low,Pharyngeal Mesoderm/Neural Crest_ci_high,gene_annotation
ENSMUSG00000029313,-0.04037267367609837,3.339827864904634e-11,6.04359181450019e-11,-0.0522870306645731,-0.028446824945568296,Aff1
ENSMUSG00000090634,-0.04037455014110195,3.33285355383939e-11,6.031415969179974e-11,-0.05228890505457129,-0.028448702953201187,Gm8126
ENSMUSG00000045440,-0.04037529633810507,3.3300841044993835e-11,6.026848366037805e-11,-0.0522896504264023,-0.028449449763671263,Insm2
ENSMUSG00000111253,-0.040375796389185564,3.3282294660486096e-11,6.023935853330296e-11,-0.05229014992450048,-0.028449950225863527,RP24-397P9.4
ENSMUSG00000026000,-0.040377369189902555,3.322402695577358e-11,6.013833012519559e-11,-0.052291720985894324,-0.028451524319681173,Lancl1
ENSMUSG00000022560,-0.040377370580481305,3.322397548305913e-11,6.013833012519559e-11,-0.05229172237493524,-0.02845152571140323,Slc52a2
ENSMUSG00000037552,-0.04037851986001207,3.3181461209695e-11,6.007013977440139e-11,-0.052292870383467596,-0.028452675935868074,Plekhg2
ENSMUSG00000079440,-0.040380040098986755,3.3125306142126455e-11,5.997290143805684e-11,-0.05229438894114818,-0.028454197424827073,Alpi
ENSMUSG00000078620,-0.04038407405012276,3.297674919127804e-11,5.970834411093352e-11,-0.052298418430706456,-0.028458234693061833,Gm10964
ENSMUSG00000033955,-0.04038628116946504,3.2895744505619555e-11,5.956606822789079e-11,-0.05230062310879535,-0.028460443627472496,Tnks1bp1
ENSMUSG00000032812,-0.04038926700205819,3.2786469667086844e-11,5.937257731717924e-11,-0.05230360563863014,-0.028463431915709693,Arap1
ENSMUSG00000047719,-0.040389916398381055,3.27627502781474e-11,5.933400050373054e-11,-0.05230425431659955,-0.028464081846145038,Ubiad1
ENSMUSG00000018599,-0.04039241020123202,3.267181936989758e-11,5.91736876047304e-11,-0.05230674536074598,-0.02846657770018117,Mief2
ENSMUSG00000016626,-0.040394711631963606,3.258812203610621e-11,5.902645313393432e-11,-0.05230904424544813,-0.028468881024001292,Nlrp14
ENSMUSG00000110967,-0.04039482825574211,3.2583886308650904e-11,5.902313535856552e-11,-0.052309160740204586,-0.028468997743714416,RP23-395M5.7
ENSMUSG00000009551,-0.040396774005072376,3.2513296924618084e-11,5.889961381931847e-11,-0.052311104336885135,-0.028470945093664494,6330409D20Rik
