,NMP_corr,NMP_pval,NMP_qval,NMP_ci_low,NMP_ci_high,gene_annotation
ENSMUSG00000008301,0.6986722123855212,0.0,0.0,0.6952989701701705,0.7020146745925246,Phax
ENSMUSG00000038500,0.697686116114504,0.0,0.0,0.694303821541125,0.7010375914395922,Prr3
ENSMUSG00000042606,0.695219843990065,0.0,0.0,0.6918149656789067,0.698593806444814,Hirip3
ENSMUSG00000036822,0.693321589931328,0.0,0.0,0.6898993843408712,0.6967128067951549,Topors
ENSMUSG00000025577,0.6914024277237507,0.0,0.0,0.687962752724025,0.6948110416355432,Cbx2
ENSMUSG00000061898,0.6860697649902291,0.0,0.0,0.6825818059259624,0.6895264687929786,Rbak
ENSMUSG00000024067,0.6847357971475495,0.0,0.0,0.6812358189364353,0.6882044731029978,Dpy30
ENSMUSG00000037337,0.6817950261498463,0.0,0.0,0.6782686349618874,0.685290013703038,Map4k1
ENSMUSG00000031834,0.6808985660222103,0.0,0.0,0.677364146013571,0.6844015520980179,Pik3r2
ENSMUSG00000062397,0.6801878370275188,0.0,0.0,0.676647059226195,0.6836971570760301,Zfp706
ENSMUSG00000030591,0.6800660447857426,0.0,0.0,0.676524178171773,0.6835764495828631,Psmd8
ENSMUSG00000062075,0.6783774772807962,0.0,0.0,0.6748205353349848,0.6819029016010014,Lmnb2
ENSMUSG00000026201,0.677700910514752,0.0,0.0,0.6741379388986554,0.6812323424244979,Stk16
ENSMUSG00000035960,0.6748619694569904,0.0,0.0,0.6712737630961767,0.6784185452030379,Apex1
ENSMUSG00000075012,0.6747501239927262,0.0,0.0,0.6711609256552765,0.6783076881914873,Fjx1
ENSMUSG00000070699,0.6745029318515657,0.0,0.0,0.6709115417145345,0.678062680077071,Sars2
ENSMUSG00000109511,0.6738210753337128,0.0,0.0,0.6702236435325779,0.6773868438929772,Nup62
