,Neural crest_corr,Neural crest_pval,Neural crest_qval,Neural crest_ci_low,Neural crest_ci_high,gene_annotation
ENSMUSG00000007836,0.5265965887880787,0.0,0.0,0.521839270428816,0.5313211522480378,Hnrnpa0
ENSMUSG00000024847,0.5264676032966059,0.0,0.0,0.5217093948441657,0.5311930587182336,Aip
ENSMUSG00000029394,0.5255908383471126,0.0,0.0,0.5208265854271371,0.5303223510569522,Cdk2ap1
ENSMUSG00000043872,0.524697823279554,0.0,0.0,0.5199274243380186,0.529435495283727,Zmym1
ENSMUSG00000031796,0.5243297996809881,0.0,0.0,0.5195568709567413,0.529070007000657,Cfap20
ENSMUSG00000031609,0.5242175674082241,0.0,0.0,0.5194438675600871,0.5289585475463563,Sap30
ENSMUSG00000036902,0.5235503654445005,0.0,0.0,0.5187720848414187,0.528295936481894,Neto2
ENSMUSG00000055720,0.5234911045899641,0.0,0.0,0.5187124174097241,0.5282370831113556,Ubl7
ENSMUSG00000079278,0.5231325334900386,0.0,0.0,0.5183513872164428,0.5278809766120703,Tmem233
ENSMUSG00000038930,0.5230504921041262,0.0,0.0,0.5182687834273701,0.5277994988942732,Rccd1
ENSMUSG00000003037,0.522666631831495,0.0,0.0,0.5178822929336129,0.5274182747854658,Rab8a
ENSMUSG00000022553,0.5221761098588559,0.0,0.0,0.5173884127335746,0.5269311186920747,Maf1
ENSMUSG00000020167,0.519619343485562,0.0,0.0,0.514814193779824,0.5243918458323329,Tcf3
ENSMUSG00000002968,0.5193817578731293,0.0,0.0,0.5145749907992287,0.524155881480945,Med25
ENSMUSG00000028675,0.5191395963345782,0.0,0.0,0.5143311815117455,0.5239153716747655,Pnrc2
ENSMUSG00000008301,0.5186654755692519,0.0,0.0,0.5138538369191513,0.5234444825812774,Phax
ENSMUSG00000030591,0.5181764309082554,0.0,0.0,0.5133614700760841,0.5229587682569251,Psmd8
