,Neural Crest/Mid-HindBrain_1_corr,Neural Crest/Mid-HindBrain_1_pval,Neural Crest/Mid-HindBrain_1_qval,Neural Crest/Mid-HindBrain_1_ci_low,Neural Crest/Mid-HindBrain_1_ci_high,gene_annotation
ENSMUSG00000020798,0.01725568925910083,0.004614356187359075,0.005031464602943054,0.005317223731539285,0.029189236546755034,Spns3
ENSMUSG00000047867,0.017249232640869562,0.004629681996074604,0.005047625377316402,0.005310765373319886,0.029182783507690494,Gimap6
ENSMUSG00000025900,0.01715335709950652,0.004862745964030663,0.0053005733202863125,0.005214864111741485,0.029086960996997,Rp1
ENSMUSG00000001281,0.01704462217202848,0.005139875720682184,0.005601433871711186,0.005106100280063311,0.02897828594753679,Itgb7
ENSMUSG00000006024,0.017028556048720705,0.0051820117344051906,0.005646738296180877,0.005090029909967889,0.02896222864758069,Napa
ENSMUSG00000003380,0.017003477020476804,0.005248409658852118,0.005718467704131747,0.005064944264864718,0.028937163380173343,Rabac1
ENSMUSG00000024529,0.016999163699277443,0.005259906527272696,0.005729849675211195,0.005060629807151625,0.028932852424176266,Lox
ENSMUSG00000005320,0.016977185657191092,0.0053188415478518285,0.0057933139612807195,0.005038645980989918,0.028910886426817727,Fgfr4
ENSMUSG00000034579,0.01696925470415461,0.0053402547169437336,0.005816003830258912,0.005030712943556846,0.02890295981738801,Pla2g3
ENSMUSG00000030047,0.016924632348745073,0.005462190475821691,0.005948154716129468,0.0049860788886045325,0.02885836187267319,Arhgap25
ENSMUSG00000031722,0.01689884984213625,0.00553378427378576,0.00602546197058554,0.004960289643758931,0.02883259344874831,Hp
ENSMUSG00000031825,0.016880950744807454,0.005583983976183392,0.006079459963182789,0.004942385877855259,0.028814704118771954,Crispld2
ENSMUSG00000019997,0.01687657434071967,0.005596320356011527,0.0060922276899755354,0.0049380083334458905,0.028810330101679563,Ctgf
ENSMUSG00000023393,0.016833340556898387,0.0057195172005179845,0.006224986069349134,0.004894763309160642,0.028767119874039786,Slc17a9
ENSMUSG00000079037,0.016802616148528744,0.0058085489148019375,0.006319822559897658,0.004864030939815133,0.02873641217893452,Prnp
ENSMUSG00000049411,0.016764632352885948,0.005920342621018111,0.0064407556799587805,0.004826037333396843,0.028698449014333844,Tmem241
ENSMUSG00000098202,0.016763430778033963,0.005923910516839336,0.006443936165385985,0.00482483544875438,0.028697248091560035,B830012L14Rik
ENSMUSG00000046876,0.016735420648614593,0.00600763333779474,0.006534297735256407,0.004796818107526671,0.028669253153091333,Atxn1
ENSMUSG00000028042,0.016697216325698528,0.006123545236783255,0.006658922615031812,0.004758603978305644,0.028631069519641096,Zbtb7b
ENSMUSG00000002588,0.016447372409538804,0.006932519606156662,0.0075328910204896906,0.004508696791727887,0.028381360047275022,Pon1
ENSMUSG00000068335,0.01643099313127911,0.006988764720729536,0.007593182008615315,0.004492313417669774,0.028364989530862614,Dok1
ENSMUSG00000042417,0.01642279457883164,0.007017071499293378,0.0076221158178614795,0.004484112817501157,0.028356795361702734,Ccno
ENSMUSG00000036196,0.016422618075928763,0.007017682033505064,0.0076221158178614795,0.004483936270531481,0.028356618953148022,Slc26a8
ENSMUSG00000027947,0.016336298443634847,0.007322045967011845,0.007947515431468408,0.0043975951763320495,0.02827034537321988,Il6ra
ENSMUSG00000002732,0.016282650820793342,0.0075171243879858475,0.008157487127494138,0.004343934304616209,0.028216726282320588,Fkbp7
ENSMUSG00000052760,0.016175956523525353,0.007919001056701758,0.008589869895543722,0.004237213862357182,0.02811008852521992,A630001G21Rik
ENSMUSG00000050069,0.01616831883735726,0.00794849415077391,0.008620926410817688,0.004229574315036629,0.028102454876047935,Grem2
ENSMUSG00000029651,0.016132471998276814,0.008088235852496434,0.008769636617691026,0.0041937187594126004,0.028066626965672168,Mtus2
ENSMUSG00000034108,0.016052548899893857,0.008407746653229912,0.009115076597170329,0.00411377633739178,0.027986745959800132,Ccs
