,Forebrain/Midbrain/Hindbrain_2_corr,Forebrain/Midbrain/Hindbrain_2_pval,Forebrain/Midbrain/Hindbrain_2_qval,Forebrain/Midbrain/Hindbrain_2_ci_low,Forebrain/Midbrain/Hindbrain_2_ci_high,gene_annotation
ENSMUSG00000105640,0.10715382488224465,1.3071264243330126e-226,1.550140944318414e-226,0.10066458719411198,0.1136339460339083,Gm42912
ENSMUSG00000040478,0.10714043699967037,1.4888290075982856e-226,1.7655394993505175e-226,0.10065118104833352,0.11362057752711116,Prdm13
ENSMUSG00000057286,0.10709963632026481,2.2134585679319037e-226,2.624720345803627e-226,0.10061032472483644,0.11357983588251641,St6galnac2
ENSMUSG00000091045,0.10706585235861056,3.073464018680703e-226,3.644163258156596e-226,0.10057649470507567,0.11354610078663697,Vmn2r55
ENSMUSG00000097928,0.10701588725551535,4.993199339515083e-226,5.920080654035847e-226,0.10052646151142432,0.11349620792664056,Gm26578
ENSMUSG00000021809,0.1069910028365323,6.357737771848608e-226,7.537552647372013e-226,0.10050154319313838,0.11347135947512756,Nudt13
ENSMUSG00000079051,0.10698606269852053,6.6700552190231625e-226,7.907445472595688e-226,0.10049659632629224,0.11346642647653365,Gm14025
ENSMUSG00000038462,0.10698316729037133,6.86018044224066e-226,8.132448950697343e-226,0.10049369697453153,0.11346353525263904,Uqcrfs1
ENSMUSG00000086355,0.10696728597530315,8.003501149558456e-226,9.48734840787752e-226,0.10047779403071261,0.11344767688625716,4933428C19Rik
ENSMUSG00000039887,0.10695706091750053,8.838453148097285e-226,1.0476594491000075e-225,0.10046755504916638,0.11343746660203548,Alg14
ENSMUSG00000031891,0.10692874663651177,1.163301494005555e-225,1.378777614328959e-225,0.10043920221901237,0.11340919322353281,Hsd11b2
ENSMUSG00000033318,0.10689941708751453,1.5461526269867706e-225,1.8323666215079014e-225,0.10040983274970226,0.1133799060325992,Gstt2
ENSMUSG00000097235,0.10683882169450687,2.782398451511087e-225,3.2972992944058405e-225,0.10034915491640616,0.11331939811646873,Gm17250
ENSMUSG00000063694,0.10680469580448534,3.873091798917318e-225,4.5896109777024956e-225,0.10031498261921552,0.11328532147019296,Cycs
ENSMUSG00000107419,0.1067551065663446,6.261790368846016e-225,7.419858935130666e-225,0.10026532597287256,0.11323580376227382,Gm43902
ENSMUSG00000106515,0.10663716296635388,1.96124346835348e-224,2.323847769654681e-224,0.1001472221783468,0.11311803016121987,Gm30382
ENSMUSG00000001023,0.10653085609502534,5.482274172189596e-224,6.495550404188735e-224,0.10004077107454523,0.11301187636008585,S100a5
ENSMUSG00000029843,0.10652685353693371,5.698496727171576e-224,6.751411072022224e-224,0.1000367630888617,0.11300787956234716,Slc13a4
ENSMUSG00000030352,0.10652682379958082,5.700134645750316e-224,6.75302575865961e-224,0.10003673331118483,0.11300784986779053,Tspan9
ENSMUSG00000086921,0.10651263441626306,6.537859757609358e-224,7.744742486192462e-224,0.10002252468832912,0.11299368090368188,Gm13189
ENSMUSG00000057606,0.10649878477650168,7.473987548457191e-224,8.853251425180729e-224,0.10000865627224446,0.1129798511916802,Colq
ENSMUSG00000000617,0.10649208742417655,7.973581764177756e-224,9.444586041783688e-224,0.10000194984104605,0.11297316347503907,Grm6
ENSMUSG00000041079,0.10646870402954663,9.994300480103543e-224,1.1837525466134507e-223,0.09997853475271096,0.11294981371820406,Rwdd2b
ENSMUSG00000026479,0.10646105492138959,1.0760623503739946e-223,1.2744564798061899e-223,0.09997087527856147,0.112942175611991,Lamc2
ENSMUSG00000024680,0.10645167061431972,1.1781422103059546e-223,1.3952895445194057e-223,0.09996147825502623,0.11293280480160792,Ms4a2
ENSMUSG00000085070,0.10637124682959849,2.5607672746039087e-223,3.0324583092690477e-223,0.09988094553730491,0.11285249663660542,Gm13211
ENSMUSG00000057604,0.10636624106766096,2.6874960481502325e-223,3.182376915895848e-223,0.09987593299793715,0.11284749806830664,Lmcd1
ENSMUSG00000021573,0.10633848357640666,3.5127978010643996e-223,4.159450764973867e-223,0.09984813793107754,0.11281978046060404,Tppp
ENSMUSG00000087312,0.10629888675508112,5.1464983494003006e-223,6.093597003977439e-223,0.09980848752465366,0.11278024051679875,Gm13833
ENSMUSG00000025900,0.1062734955138135,6.574070622686315e-223,7.783506868312408e-223,0.09978306193308704,0.11275488573712265,Rp1
ENSMUSG00000095550,0.10621514051194313,1.1536906019092166e-222,1.3658699806189164e-222,0.09972462801833253,0.11269661450051374,Gm21671
ENSMUSG00000030286,0.10619285770634213,1.4299521468949862e-222,1.692858146996755e-222,0.09970231509172826,0.11267436366884126,Emc3
ENSMUSG00000028339,0.10618823209533997,1.4951085461495765e-222,1.7699086318738865e-222,0.09969768322882877,0.1126697446943822,Col15a1
ENSMUSG00000031828,0.10617342320687091,1.7243276902659945e-222,2.0411597054824113e-222,0.09968285432680928,0.11265495705091459,Klhl36
ENSMUSG00000022488,0.1061433868350862,2.3027017826713907e-222,2.7256741957452504e-222,0.09965277737106579,0.11262496376083628,Nckap1l
ENSMUSG00000027082,0.10600128277020282,9.037509535501577e-222,1.0696535582126626e-221,0.09951048146158303,0.11248306335823191,Tfpi
ENSMUSG00000030800,0.10595741213512405,1.3778628289157152e-221,1.6306414815163714e-221,0.09946655165350894,0.11243925554474818,Prss8
ENSMUSG00000015335,0.10590882559117493,2.1976617368415526e-221,2.6007129205636384e-221,0.09941789960524515,0.11239073854604549,Zdhhc12
ENSMUSG00000029092,0.1058826714353682,2.8252981103759594e-221,3.343296665025571e-221,0.09939171020128951,0.1123646218136763,D5Ertd615e
ENSMUSG00000024844,0.10588008335622559,2.8964036113360184e-221,3.4271085043625025e-221,0.0993891186346625,0.11236203743727535,Banf1
ENSMUSG00000061762,0.10584965827869129,3.8791880539249233e-221,4.589525110830991e-221,0.0993586525653774,0.11233165588205217,Tac1
ENSMUSG00000039579,0.10575690599405563,9.447447168831979e-221,1.1176876735371405e-220,0.09926577539055592,0.11223903620244699,Grin3a
ENSMUSG00000005364,0.10574312460381474,1.0782585668152777e-220,1.2755808197190275e-220,0.09925197545343772,0.11222527450541639,Il5ra
ENSMUSG00000073551,0.10568644121512538,1.8568002321043738e-220,2.196490450427684e-220,0.09919521580698323,0.11216867208951292,Spink13
