,Somitic mesoderm_corr,Somitic mesoderm_pval,Somitic mesoderm_qval,Somitic mesoderm_ci_low,Somitic mesoderm_ci_high,gene_annotation
ENSMUSG00000042744,-0.04907489996529431,9.469003827468412e-49,1.013703439403534e-48,-0.055616992848691545,-0.04252859351737026,Gm15800
ENSMUSG00000090164,-0.04911590827404677,7.900282699214704e-49,8.458546787167777e-49,-0.05565797299185912,-0.042569626487760505,BC035044
ENSMUSG00000035984,-0.049323441881985036,3.151730375241885e-49,3.3755278732375337e-49,-0.05586536372222956,-0.04277728524125195,Nme5
ENSMUSG00000027340,-0.04941445018106422,2.10381645137311e-49,2.2534452135530312e-49,-0.055956309188129064,-0.04286834859795697,Slc23a2
ENSMUSG00000016496,-0.04954837862446357,1.1590258439641117e-49,1.2415916914452188e-49,-0.056090144968363786,-0.043002358262346524,Cd274
ENSMUSG00000018845,-0.04955087822141799,1.1461835570478368e-49,1.2279660992584495e-49,-0.056092642833648225,-0.04300485937742226,Unc45b
ENSMUSG00000032556,-0.04959085180600375,9.59039734284925e-50,1.0275792717078377e-49,-0.056132588714220506,-0.04304485725097035,Bfsp2
ENSMUSG00000028031,-0.049692775071331616,6.08356398337219e-50,6.519035558692874e-50,-0.05623444124603378,-0.04314684254241865,Dkk2
ENSMUSG00000074882,-0.049863009521621524,2.838494866434435e-50,3.0420050010014305e-50,-0.05640455725205362,-0.043317180894294566,Cyp2c68
ENSMUSG00000054072,-0.04996735770924805,1.776619771991543e-50,1.9044053724853073e-50,-0.05650883264942444,-0.04342159295835262,Iigp1
ENSMUSG00000109827,-0.05002651648219995,1.3615638725374732e-50,1.459652522017017e-50,-0.056567950091550856,-0.04348078800868446,Gm6213
ENSMUSG00000070394,-0.05009852418112578,9.844626930291901e-51,1.0554976873905759e-50,-0.056639907420951555,-0.04355283992623424,Tmem256
ENSMUSG00000084897,-0.0501684091184976,7.183218373266674e-51,7.702357252055194e-51,-0.056709743408690984,-0.04362276784379192,Gm14226
ENSMUSG00000021890,-0.05024372684250642,5.1119280545969025e-51,5.481960380264775e-51,-0.056785008306102454,-0.0436981319610343,Eaf1
ENSMUSG00000063458,-0.05030872685535152,3.8098736930148697e-51,4.0860936218520697e-51,-0.05684996266925119,-0.04376317207163132,1700112E06Rik
ENSMUSG00000032484,-0.050386810023192105,2.674979339508166e-51,2.8692259353300076e-51,-0.05692799092584281,-0.04384130348143028,Ngp
ENSMUSG00000024378,-0.0504254190049759,2.2453727383222404e-51,2.408681332677795e-51,-0.05696657272670084,-0.04387993634650282,Stard4
ENSMUSG00000020788,-0.05045483196646332,1.9648391741635126e-51,2.107970361724614e-51,-0.05699596496819785,-0.04390936751581223,Atp2a3
ENSMUSG00000040620,-0.05053075001711633,1.391766295696823e-51,1.4936319979575262e-51,-0.057071829485900595,-0.043985332615339955,Dhx33
ENSMUSG00000110874,-0.05058532544272975,1.0858467792275865e-51,1.165446795349991e-51,-0.057126366381459216,-0.04403994190987519,RP24-295B16.1
ENSMUSG00000039997,-0.05073750195181623,5.42718823437706e-52,5.825663626424495e-52,-0.05727843524829445,-0.044192213064658196,Ifi203
ENSMUSG00000039067,-0.050745374051831375,5.235637240948428e-52,5.6206518958115165e-52,-0.05728630177171296,-0.0442000900689739,Psmd7
ENSMUSG00000030521,-0.05091283574918491,2.434599564712242e-52,2.613914069907926e-52,-0.05745364464676724,-0.04436765628738438,Mphosph10
ENSMUSG00000060470,-0.05098829702311197,1.722743275154938e-52,1.8498263450606014e-52,-0.057529052257086495,-0.04444316478076126,Adgrg3
ENSMUSG00000026701,-0.05103169378408198,1.4116854900947955e-52,1.515985277163655e-52,-0.05757241812303791,-0.04448658873086939,Prdx6
ENSMUSG00000030695,-0.051098257033395836,1.0397898401593873e-52,1.1168526747147017e-52,-0.05763893393668435,-0.04455319373175687,Aldoa
ENSMUSG00000015839,-0.051171824138249805,7.412753298450291e-53,7.962996345955839e-53,-0.05771244854708374,-0.04462680704902129,Nfe2l2
ENSMUSG00000017499,-0.05130661128149386,3.9825898505024443e-53,4.279593649798457e-53,-0.05784713932774234,-0.04476167904547472,Cdc6
ENSMUSG00000022035,-0.05150123727130612,1.6192607394498476e-53,1.7402049859751184e-53,-0.05804162575459761,-0.044956427980121956,Ccdc25
ENSMUSG00000043541,-0.05157507902636817,1.1498486250204184e-53,1.2358648162300285e-53,-0.058115414429095395,-0.045030316511040294,Casc1
ENSMUSG00000029553,-0.05169958398472866,6.448746104077552e-54,6.931899499169679e-54,-0.058239829726218,-0.04515490050056745,Tfec
ENSMUSG00000024942,-0.05171522334214321,5.996295725236756e-54,6.446243523152823e-54,-0.05825545780671316,-0.045170549799662674,Capn1
ENSMUSG00000034009,-0.05172649813040517,5.68985922025698e-54,6.11747040130844e-54,-0.05826672446318463,-0.0451818317571135,Rxfp1
ENSMUSG00000032593,-0.05177787802770543,4.479421395717663e-54,4.8165821459329703e-54,-0.05831806728232453,-0.04523324434598291,Amigo3
ENSMUSG00000002346,-0.05189086345952979,2.645003143360238e-54,2.844701165154053e-54,-0.05843097105682982,-0.045346301789172073,Slc25a42
ENSMUSG00000001281,-0.051989565775379526,1.6678080376724803e-54,1.794113637771601e-54,-0.05852960190119641,-0.04544506715022923,Itgb7
ENSMUSG00000054612,-0.052002924016569446,1.566791477605821e-54,1.6856282706894255e-54,-0.058542950459720695,-0.04545843393370383,Mgmt
ENSMUSG00000048376,-0.05214059959185334,8.221332986067712e-55,8.846801878906394e-55,-0.05868052610517483,-0.0455961976858577,F2r
ENSMUSG00000068263,-0.05219482536444992,6.3742546660959996e-55,6.859938297563495e-55,-0.058734712450586375,-0.04565045825668427,Efcc1
ENSMUSG00000023243,-0.052259771204344725,4.698052672702762e-55,5.056562988594082e-55,-0.05879961101809108,-0.04571544582500543,Kcnk5
