,Mesenchyme_corr,Mesenchyme_pval,Mesenchyme_qval,Mesenchyme_ci_low,Mesenchyme_ci_high,gene_annotation
ENSMUSG00000034353,-0.030156342354463794,2.0128745150087274e-19,2.1734958589879357e-19,-0.03670907809180977,-0.023601013507197052,Ramp1
ENSMUSG00000006179,-0.03020439287528844,1.765442245255753e-19,1.906731013344587e-19,-0.03675710752493006,-0.02364908099145534,Prss16
ENSMUSG00000040570,-0.03028776642567843,1.4054152388755495e-19,1.5182189033980226e-19,-0.036840444413731153,-0.023732484047403937,Rundc3b
ENSMUSG00000021604,-0.03047186353376146,8.475157826033364e-20,9.156393502628959e-20,-0.037024460246560774,-0.023916646629897793,Irx4
ENSMUSG00000039110,-0.030497918006420533,7.88779066341102e-20,8.523655352724248e-20,-0.03705050318078696,-0.023942710404807395,Mycbpap
ENSMUSG00000001247,-0.030528122247405667,7.257084249522245e-20,7.842952825594126e-20,-0.037080694034441,-0.023972925440791673,Lsr
ENSMUSG00000037321,-0.030578350024898702,6.316803687194947e-20,6.828976959129671e-20,-0.037130899523148776,-0.024023171196214735,Tap1
ENSMUSG00000032946,-0.030733171901769787,4.112696737490568e-20,4.447601100346672e-20,-0.03728565248904732,-0.024178048696548347,Rasgrp2
ENSMUSG00000021451,-0.030871612512865607,2.7970107878639004e-20,3.0257581002422117e-20,-0.03742403121428632,-0.024316539312227006,Sema4d
ENSMUSG00000025909,-0.030987443468210286,2.0232023670875225e-20,2.1893760059382346e-20,-0.037539810197681676,-0.0244324122988915,Sntg1
ENSMUSG00000001985,-0.03107127190962504,1.599275883400447e-20,1.7310053938742793e-20,-0.03762360091656427,-0.02451627126880319,Grik3
ENSMUSG00000043441,-0.031127765592269728,1.3644348693143023e-20,1.4773006380622587e-20,-0.0376800691252622,-0.024572785577252322,Gpr149
ENSMUSG00000020020,-0.031297124868811046,8.46161841060845e-21,9.164538514684773e-21,-0.03784935178411481,-0.02474220693781333,Usp44
ENSMUSG00000037913,-0.03131955171015828,7.941329520544169e-21,8.601960052582504e-21,-0.03787176845142132,-0.02476464202866299,Tmem156
ENSMUSG00000052861,-0.03160358901545884,3.5413217166816806e-21,3.838831129194234e-21,-0.03815567633122691,-0.02504878438577025,Dnah6
ENSMUSG00000045613,-0.03163186149759574,3.2665148782520034e-21,3.541321420481357e-21,-0.03818393587273456,-0.025077067382502063,Chrm2
ENSMUSG00000041789,-0.031821362821340585,1.8973828807694703e-21,2.057675827751296e-21,-0.038373350189077324,-0.025266639453061346,2700046A07Rik
ENSMUSG00000024769,-0.031821725750009924,1.8954040466608144e-21,2.055752762105005e-21,-0.03837371295066031,-0.02526700251767568,Cdc42bpg
ENSMUSG00000067242,-0.03185784385905179,1.708351392723108e-21,1.8530766815523463e-21,-0.03840981442288528,-0.025303134164405862,Lgi1
ENSMUSG00000035615,-0.03210514675706375,8.360960990473729e-22,9.072223296955e-22,-0.03865700294810894,-0.025550530215861244,Frmpd1
ENSMUSG00000074340,-0.03211835879634468,8.046576396409455e-22,8.732041667291866e-22,-0.03867020885451437,-0.02556374725441276,Ovgp1
ENSMUSG00000022270,-0.03217114766399435,6.903009583427991e-22,7.493497159604853e-22,-0.03872297319534317,-0.025616556119579647,Fam134b
ENSMUSG00000097047,-0.03220197964980398,6.31111687515942e-22,6.851717376136598e-22,-0.03875379083906062,-0.02564739980210751,1110020A21Rik
ENSMUSG00000041653,-0.032252709665292846,5.444632250048298e-22,5.911652823070899e-22,-0.03880449722938092,-0.025698149090181192,Pnpla3
ENSMUSG00000018932,-0.03245390488205031,3.024279405713372e-22,3.2858316011662016e-22,-0.03900559841645585,-0.02589942107469885,Map2k3
ENSMUSG00000052160,-0.03261415943322984,1.8885078917714039e-22,2.0527259693167433e-22,-0.039165777692074036,-0.026059737152583994,Pld4
ENSMUSG00000050503,-0.03274473929715208,1.2845529854449094e-22,1.3965568443628065e-22,-0.03929629597041668,-0.026190367399455645,Fbxl22
ENSMUSG00000042567,-0.032802565999285736,1.0824912479552246e-22,1.1770047275798898e-22,-0.03935409532823331,-0.026248216484964237,Nek10
ENSMUSG00000028581,-0.032947948024459196,7.030527333145695e-23,7.646864621650745e-23,-0.039499408413432496,-0.026393654978065374,Laptm5
ENSMUSG00000025804,-0.03305765507307068,5.0699830918485954e-23,5.515647401924059e-23,-0.03960906325564375,-0.026503404821756626,Ccr1
ENSMUSG00000026380,-0.033064787695565326,4.9631739743673846e-23,5.400036964821438e-23,-0.03961619247846724,-0.02651054023205094,Tfcp2l1
ENSMUSG00000001773,-0.03309319962261587,4.5593789286630826e-23,4.9612393130175e-23,-0.039644590856724324,-0.02653896327058848,Folh1
ENSMUSG00000048616,-0.033133239719289394,4.04497501645641e-23,4.401975205633268e-23,-0.0396846118415127,-0.026579019044345953,Nog
ENSMUSG00000031075,-0.033342569420231456,2.1582723660413278e-23,2.3490121528529908e-23,-0.03989384128328629,-0.026788431047756675,Ano1
ENSMUSG00000027488,-0.0334164040290833,1.7277379347154697e-23,1.8808381610227193e-23,-0.039967640391746155,-0.026862294823507105,Snta1
ENSMUSG00000018126,-0.033477150804095725,1.4382025101541935e-23,1.565816559775932e-23,-0.04002835790553036,-0.026923065648992266,Baiap2l2
ENSMUSG00000030707,-0.03362679718312905,9.140712263651746e-24,9.956118357098079e-24,-0.04017793199472444,-0.02707277148172429,Coro1a
ENSMUSG00000050994,-0.03373441180768205,6.5901182303122e-24,7.179560115821113e-24,-0.04028549445227765,-0.027180429042713002,Adgb
ENSMUSG00000096976,-0.03374487968720579,6.383344805291728e-24,6.955049907705087e-24,-0.040295957249315034,-0.0271909011068593,Gm26882
ENSMUSG00000029372,-0.034086530259485194,2.2431455946201413e-24,2.4469789403514142e-24,-0.04063744115082553,-0.027532689046487455,Ppbp
ENSMUSG00000032462,-0.034152628803056834,1.8300624126116034e-24,1.9970126719899643e-24,-0.040703507272215875,-0.027598814343195072,Pik3cb
ENSMUSG00000009292,-0.034228136811066005,1.4497229273183347e-24,1.5823214661846046e-24,-0.0407789781724889,-0.02767435298297189,Trpm2
ENSMUSG00000097261,-0.034335007218110565,1.0416031181325601e-24,1.1373696419879452e-24,-0.04088579593125806,-0.027781266872689454,4930532G15Rik
ENSMUSG00000025993,-0.03444476219223634,7.409436272968676e-25,8.092438043871424e-25,-0.04099549668020851,-0.02789106665920777,Slc40a1
ENSMUSG00000034875,-0.03456120855172929,5.156341010098281e-25,5.634113865929065e-25,-0.041111885335934725,-0.028007560736053753,Nudt19
ENSMUSG00000020078,-0.03471431637984955,3.195453841459458e-25,3.492299280283561e-25,-0.04126491702254273,-0.028160731575561638,Vps26a
ENSMUSG00000010609,-0.03482360840907701,2.2679829713472756e-25,2.4794828592404894e-25,-0.04137415451214534,-0.028270068772073914,Psen2
ENSMUSG00000055368,-0.034893143989287695,1.8225048329021764e-25,1.9933335151505813e-25,-0.041443655310741546,-0.028339633170985846,Slc6a2
ENSMUSG00000023826,-0.034937970085145036,1.5825105190153668e-25,1.7310331645322323e-25,-0.041488458951034514,-0.02838447787846309,Park2
ENSMUSG00000033060,-0.03506159450359202,1.0710908793866745e-25,1.1720000868658219e-25,-0.041612021303508086,-0.028508153761983176,Lmo7
ENSMUSG00000045608,-0.03515046598756467,8.083443225769093e-26,8.846933595019254e-26,-0.041700848045518324,-0.02859706236728287,Dbx2
ENSMUSG00000003848,-0.03535935622752868,4.1600319622760555e-26,4.5554445491415414e-26,-0.04190963271287007,-0.02880604026830806,Nob1
ENSMUSG00000079550,-0.035362771084113724,4.1149672469287277e-26,4.50658991011798e-26,-0.04191304583884259,-0.02880945656270116,Mpp4
ENSMUSG00000019326,-0.03550423342692956,2.618278346726312e-26,2.868403096764146e-26,-0.042054436355721266,-0.02895097860205224,Aoc3
ENSMUSG00000008601,-0.03550990138815492,2.5711803550422045e-26,2.817114446195031e-26,-0.042060101433635595,-0.028956648960608424,Rab25
ENSMUSG00000106438,-0.0355170193494445,2.5132215816432162e-26,2.75391363318345e-26,-0.04206721577339763,-0.028963769933120803,Gm42749
ENSMUSG00000046182,-0.03553598761653041,2.365018591240584e-26,2.5918011958800923e-26,-0.04208617438642862,-0.028982746227898322,Gsg1l
ENSMUSG00000024617,-0.03554410920428078,2.3042432048303266e-26,2.5254747970520895e-26,-0.04209429183918816,-0.028990871254286288,Camk2a
ENSMUSG00000023990,-0.035573512462132174,2.0968823718518965e-26,2.2984570556307097e-26,-0.04212368011955663,-0.029020286968565373,Tfeb
ENSMUSG00000055817,-0.03568494628748074,1.4657522702433024e-26,1.6070082997953102e-26,-0.04223505707967211,-0.02913176810487965,Mta3
ENSMUSG00000002257,-0.03577898004922959,1.0825719499650891e-26,1.1871608180338732e-26,-0.04232904272887592,-0.029225841916954834,Def6
ENSMUSG00000027463,-0.035878399304193294,7.851346572304361e-27,8.61082098300544e-27,-0.0424284109897233,-0.0293253036422552,Slc52a3
ENSMUSG00000031861,-0.035926459397554796,6.719943632208303e-27,7.370783845791712e-27,-0.04247644638564393,-0.029373384312657336,Lpar2
ENSMUSG00000021940,-0.035986778719734686,5.526151301937608e-27,6.062700276398912e-27,-0.04253673466767579,-0.0294337295036088,Ptpn20
