,Cardiac_1_corr,Cardiac_1_pval,Cardiac_1_qval,Cardiac_1_ci_low,Cardiac_1_ci_high,gene_annotation
ENSMUSG00000021718,-0.01570757653276018,0.001538331558292395,0.001999847362069246,-0.02542406412733141,-0.005988121391461747,4933425L06Rik
ENSMUSG00000025185,-0.015711175180707075,0.0015344963400970425,0.0019950727675313805,-0.025427661336579643,-0.005991720798570044,Loxl4
ENSMUSG00000001467,-0.01571502351289291,0.001530404768875314,0.001989858490993312,-0.025431508129967462,-0.005995569942868686,Cyp51
ENSMUSG00000109833,-0.015716086526964185,0.0015292763379768709,0.0019884965919928044,-0.02543257071893013,-0.005996633181318388,Gm45573
ENSMUSG00000092274,-0.015722223668850958,0.0015227764921985731,0.001980149803318647,-0.025438705406091,-0.0060027716190478204,Neat1
ENSMUSG00000057554,-0.01572257770335208,0.0015224023117277855,0.0019797680909714294,-0.02543905929896355,-0.00600312572832482,Lgals8
ENSMUSG00000040209,-0.015722633765330254,0.0015223430673678851,0.0019797680909714294,-0.025439115338514368,-0.006003181802144105,Zfp704
ENSMUSG00000107434,-0.0157259739117424,0.001518817145953267,0.001975315105808063,-0.025442454148605017,-0.006006522654154542,Gm4640
ENSMUSG00000038429,-0.01573149899639658,0.0015130012709336504,0.0019679596950605525,-0.025447977022314563,-0.006012048906446506,Usp5
ENSMUSG00000086952,-0.015731784915816824,0.0015127008622994253,0.001967673195823867,-0.02544826282730376,-0.006012334886307378,Gm12596
ENSMUSG00000085275,-0.015737675504723346,0.0015065239761065817,0.0019597423260235666,-0.025454151058317685,-0.006018226720781766,Gm14487
ENSMUSG00000048218,-0.015740029773241432,0.0015040617895042416,0.00195664309097166,-0.025456504384277528,-0.0060205814872998165,Amigo2
ENSMUSG00000060030,-0.01574171504501932,0.0015023015431775576,0.0019544567342144655,-0.025458188981271515,-0.006022267115630549,Olfr317
ENSMUSG00000074863,-0.01574554200294025,0.0014983113767652663,0.0019493689217498181,-0.025462014406671084,-0.006026094883425845,Platr25
ENSMUSG00000034528,-0.015752212453186018,0.0014913797837944431,0.0019405562802332487,-0.025468682185026792,-0.006032766745976771,Hsd17b13
ENSMUSG00000044968,-0.015752574953055126,0.0014910039400828192,0.0019402655915654156,-0.025469044539669566,-0.006033129322621175,Napepld
ENSMUSG00000027157,-0.01575272597687114,0.0014908473827400337,0.001940171999418706,-0.025469195502980987,-0.00603328037842388,4930430A15Rik
ENSMUSG00000074991,-0.015754644632488126,0.001488859745387428,0.0019376880184867283,-0.025471113389889367,-0.006035199440448809,Gabrr3
ENSMUSG00000016356,-0.01575640082525777,0.001487042552373325,0.0019354256120584117,-0.025472868878978382,-0.006036956005276412,Col20a1
ENSMUSG00000055692,-0.015768457926589017,0.0014746217255144525,0.0019194630794629858,-0.025484921147588345,-0.006049015662582581,Tmem191c
ENSMUSG00000069717,-0.015769321364793806,0.0014737359184685767,0.0019184117634399288,-0.02548578423960188,-0.0060498792839354006,Gm11568
ENSMUSG00000004613,-0.01577709132808445,0.001465786691287867,0.001908165156124057,-0.02549355108691275,-0.006057650896002622,Lim2
ENSMUSG00000107244,-0.0157845707788268,0.0014581720208759002,0.0018984536778314297,-0.025501027537071192,-0.0060651319349842355,Gm43699
ENSMUSG00000044408,-0.015787287545814207,0.0014554151756443479,0.0018949649144837477,-0.025503743213884943,-0.00606784927913844,Sptssa
ENSMUSG00000038296,-0.01579155959533757,0.0014510898179896715,0.001889433454140985,-0.025508013548846895,-0.006072122236532782,Galnt18
ENSMUSG00000042784,-0.015793901779897864,0.0014487234380552271,0.0018864522859258518,-0.025510354793234987,-0.006074464918991081,Muc1
ENSMUSG00000084869,-0.015795571830546303,0.001447038308025965,0.0018844578867370442,-0.025512024173446217,-0.006076135324721481,Gm13063
ENSMUSG00000030800,-0.015796089323752344,0.00144651650896282,0.001883878279654952,-0.025512541458895047,-0.006076652927966632,Prss8
ENSMUSG00000003346,-0.01580178457930096,0.0014407853109574607,0.00187671287360749,-0.025518234427634325,-0.0060823493948913504,Abhd17a
ENSMUSG00000027520,-0.015804805642645033,0.0014377536845531838,0.0018728633522469107,-0.025521254277678526,-0.00608537110106913,Zdbf2
ENSMUSG00000032498,-0.01580481805417531,0.0014377412417629796,0.0018728633522469107,-0.025521266684223796,-0.006085383515240747,Mlh1
ENSMUSG00000000159,-0.01580980492144355,0.00143274983854307,0.0018665432471563967,-0.025526251548309575,-0.006090371444023693,Igsf5
ENSMUSG00000027794,-0.015823071332151925,0.0014195490254118091,0.0018494437607806176,-0.02553951262766029,-0.006103640681001918,Sohlh2
ENSMUSG00000048482,-0.01582549496661937,0.0014171495223314217,0.0018464155737784476,-0.02554193528777502,-0.006106064832169071,Bdnf
ENSMUSG00000004508,-0.015828589003424258,0.0014140917255938308,0.0018425293237159547,-0.025545028080545318,-0.006109159528764153,Gab2
ENSMUSG00000056121,-0.01583232819890453,0.0014104044446770951,0.0018378224140596562,-0.025548765772340658,-0.006112899521860419,Fez2
